CatID,MatchID,MemID,SourceID,ImageID,MatchRA,MatchDec,SourceRA,SourceDec,WaveLength,Filter,TargetName,FluxAper2,MagAper2,MagAuto
330803954,63802972,1,4001444545054,33543,323.3316110053338,-0.8031177813581745,323.3316110053338,-0.8031177813581745,5919.2002,F606W,NGC7089,32.59830093383789,22.72800064086914,22.55929946899414
330981666,46717306,2,4001444540997,33543,323.33253675151707,-0.8034224412995457,323.33253675151707,-0.8034224412995457,8047.6714,F814W,NGC7089,10.925999641418457,23.359100341796875,23.144399642944336
330800341,46717306,1,4001444540997,33543,323.33253675151707,-0.8034224412995457,323.33253675151707,-0.8034224412995457,5919.2002,F606W,NGC7089,9.898079872131348,24.0221004486084,23.849899291992188
330981600,26623017,2,4001444540924,33543,323.33237335183975,-0.8034246660220057,323.33237335183975,-0.8034246660220057,8047.6714,F814W,NGC7089,5.4964599609375,24.105100631713867,23.94300079345703
330983979,86923861,2,4001444543561,33543,323.33211694863184,-0.8027428048002961,323.33211694863184,-0.8027428048002961,8047.6714,F814W,NGC7089,81.78109741210938,21.173599243164062,21.05459976196289
330802596,86923861,1,4001444543561,33543,323.33211694863184,-0.8027428048002961,323.33211694863184,-0.8027428048002961,5919.2002,F606W,NGC7089,96.1697998046875,21.55340003967285,21.443599700927734
330984710,42377848,2,4001444544340,33543,323.33215197308897,-0.8029043995047787,323.33215197308897,-0.8029043995047787,8047.6714,F814W,NGC7089,26.327800750732422,22.404199600219727,21.910600662231445
330803308,42377848,1,4001444544340,33543,323.33215197308897,-0.8029043995047787,323.33215197308897,-0.8029043995047787,5919.2002,F606W,NGC7089,29.271099090576172,22.844900131225586,22.39069938659668
330985172,24495170,2,4001444544843,33543,323.3321714020244,-0.8030955965695423,323.3321714020244,-0.8030955965695423,8047.6714,F814W,NGC7089,534.7890014648438,19.13479995727539,19.034099578857422
330803765,24495170,1,4001444544843,33543,323.3321714020244,-0.8030955965695423,323.3321714020244,-0.8030955965695423,5919.2002,F606W,NGC7089,718.8300170898438,19.369400024414062,19.288799285888672
330981477,76982111,2,4001444540779,33543,323.3320313590973,-0.8034728177666801,323.3320313590973,-0.8034728177666801,8047.6714,F814W,NGC7089,26.086599349975586,22.414199829101562,22.289899826049805
330800158,76982111,1,4001444540779,33543,323.3320313590973,-0.8034728177666801,323.3320313590973,-0.8034728177666801,5919.2002,F606W,NGC7089,28.222200393676758,22.88450050354004,22.80139923095703
330995836,73846449,2,4001444558715,33543,323.3320791379898,-0.8033333105345385,323.3320791379898,-0.8033333105345385,8047.6714,F814W,NGC7089,6.308889865875244,23.955400466918945,23.63279914855957
330814116,79188860,1,4001444558710,33543,323.3319251448051,-0.8033784338347683,323.3319251448051,-0.8033784338347683,5919.2002,F606W,NGC7089,16.172399520874023,23.48900032043457,23.24090003967285
330995831,79188860,2,4001444558710,33543,323.3319251448051,-0.8033784338347683,323.3319251448051,-0.8033784338347683,8047.6714,F814W,NGC7089,17.763099670410156,22.831499099731445,22.496299743652344
330985441,102898804,2,4001444545134,33543,323.33193202884024,-0.8032729327908033,323.33193202884024,-0.8032729327908033,8047.6714,F814W,NGC7089,16.568099975585938,22.907100677490234,22.23859977722168
330804028,102898804,1,4001444545134,33543,323.33193202884024,-0.8032729327908033,323.33193202884024,-0.8032729327908033,5919.2002,F606W,NGC7089,14.455100059509277,23.61090087890625,23.00589942932129
330985278,17702522,2,4001444544959,33543,323.3318658209669,-0.8032209428068795,323.3318658209669,-0.8032209428068795,8047.6714,F814W,NGC7089,7.33204984664917,23.792200088500977,23.083599090576172
330803868,17702522,1,4001444544959,33543,323.3318658209669,-0.8032209428068795,323.3318658209669,-0.8032209428068795,5919.2002,F606W,NGC7089,6.097259998321533,24.548099517822266,23.833099365234375
330984965,3318600,2,4001444544623,33543,323.331981168493,-0.8028741253468573,323.331981168493,-0.8028741253468573,8047.6714,F814W,NGC7089,279.79901123046875,19.83810043334961,19.728599548339844
330803560,3318600,1,4001444544623,33543,323.331981168493,-0.8028741253468573,323.331981168493,-0.8028741253468573,5919.2002,F606W,NGC7089,408.46600341796875,19.98310089111328,19.904300689697266
330985142,45353095,2,4001444544811,33543,323.3317614018323,-0.8030945586026278,323.3317614018323,-0.8030945586026278,8047.6714,F814W,NGC7089,150.24200439453125,20.5132999420166,20.41710090637207
330803736,45353095,1,4001444544811,33543,323.3317614018323,-0.8030945586026278,323.3317614018323,-0.8030945586026278,5919.2002,F606W,NGC7089,220.38499450683594,20.652999877929688,20.587099075317383
330814243,61622116,1,4001444558871,33543,323.3319045904159,-0.8030190369364442,323.3319045904159,-0.8030190369364442,5919.2002,F606W,NGC7089,9.778429985046387,24.03529930114746,23.49139976501465
330995962,61622116,2,4001444558871,33543,323.3319045904159,-0.8030190369364442,323.3319045904159,-0.8030190369364442,8047.6714,F814W,NGC7089,10.305000305175781,23.42259979248047,22.912700653076172
330985848,48230077,2,4001444545576,33543,323.3323903669587,-0.8035245634498955,323.3323903669587,-0.8035245634498955,8047.6714,F814W,NGC7089,36.707000732421875,22.043399810791016,21.95330047607422
330804431,48230077,1,4001444545576,33543,323.3323903669587,-0.8035245634498955,323.3323903669587,-0.8035245634498955,5919.2002,F606W,NGC7089,42.634300231933594,22.436599731445312,22.37820053100586
330985713,61226208,2,4001444545430,33543,323.3322901866707,-0.8036548786101714,323.3322901866707,-0.8036548786101714,8047.6714,F814W,NGC7089,38.97840118408203,21.978200912475586,21.74880027770996
330804297,61226208,1,4001444545430,33543,323.3322901866707,-0.8036548786101714,323.3322901866707,-0.8036548786101714,5919.2002,F606W,NGC7089,46.14590072631836,22.35059928894043,22.170299530029297
330980767,90275054,2,4001444539926,33543,323.3315822213111,-0.8038841857307032,323.3315822213111,-0.8038841857307032,8047.6714,F814W,NGC7089,137.67599487304688,20.60810089111328,20.501800537109375
330799459,90275054,1,4001444539926,33543,323.3315822213111,-0.8038841857307032,323.3315822213111,-0.8038841857307032,5919.2002,F606W,NGC7089,194.2010040283203,20.790300369262695,20.710899353027344
330797682,60296640,1,4001444537478,33543,323.3322307503,-0.8047361876275995,323.3322307503,-0.8047361876275995,5919.2002,F606W,NGC7089,10.814399719238281,23.926000595092773,23.820499420166016
330978949,60296640,2,4001444537478,33543,323.3322307503,-0.8047361876275995,323.3322307503,-0.8047361876275995,8047.6714,F814W,NGC7089,11.519599914550781,23.301700592041016,23.1476993560791
330798065,24551195,1,4001444537903,33543,323.3323924150352,-0.8045030631623655,323.3323924150352,-0.8045030631623655,5919.2002,F606W,NGC7089,330.1969909667969,20.214000701904297,20.14550018310547
330979341,24551195,2,4001444537903,33543,323.3323924150352,-0.8045030631623655,323.3323924150352,-0.8045030631623655,8047.6714,F814W,NGC7089,212.77099609375,20.135499954223633,20.037900924682617
330798057,83269479,1,4001444537895,33543,323.3320403153611,-0.8045054164351758,323.3320403153611,-0.8045054164351758,5919.2002,F606W,NGC7089,19.31369972229004,23.296300888061523,23.188499450683594
330979333,83269479,2,4001444537895,33543,323.3320403153611,-0.8045054164351758,323.3320403153611,-0.8045054164351758,8047.6714,F814W,NGC7089,18.65220069885254,22.778400421142578,22.64430046081543
330979832,64162906,2,4001444538431,33543,323.3320199898003,-0.80433651950658,323.3320199898003,-0.80433651950658,8047.6714,F814W,NGC7089,2.5904500484466553,24.92180061340332,23.930299758911133
330979895,33642066,2,4001444538496,33543,323.3321852825468,-0.8042884944966568,323.3321852825468,-0.8042884944966568,8047.6714,F814W,NGC7089,38.845401763916016,21.98189926147461,21.57550048828125
330798605,33642066,1,4001444538496,33543,323.3321852825468,-0.8042884944966568,323.3321852825468,-0.8042884944966568,5919.2002,F606W,NGC7089,43.01649856567383,22.42690086364746,22.074899673461914
330979664,12989806,2,4001444538248,33543,323.332225094701,-0.804368788474903,323.332225094701,-0.804368788474903,8047.6714,F814W,NGC7089,33.59049987792969,22.139699935913086,21.91360092163086
330798378,12989806,1,4001444538248,33543,323.332225094701,-0.804368788474903,323.332225094701,-0.804368788474903,5919.2002,F606W,NGC7089,38.73550033569336,22.540700912475586,22.34510040283203
