,thresholds,expected_precision,expected_recall,actual_precision,actual_recall,expected_tp,expected_fp,expected_tn,expected_fn,expected_n_selected,actual_tp,actual_fp,actual_n_obj
20,0.21000000000000002,0.5347164348020392,0.45975731418758753,0.24703389830508474,0.7997256515775034,1261.9307861328125,1098.0693359375,176157.140625,1482.8450927734375,2360.0,583,1777,729
21,0.22,0.5485494463555481,0.4520656540214469,0.2572944297082228,0.7983539094650206,1240.81884765625,1021.1812133789062,176234.046875,1503.9569091796875,2262.0,582,1680,729
22,0.23,0.5601130894252232,0.44567827803563625,0.266025641025641,0.7969821673525377,1223.2869873046875,960.713134765625,176294.484375,1521.4888916015625,2184.0,581,1603,729
23,0.24000000000000002,0.5748967106345739,0.4375436398086493,0.27764480612733367,0.7956104252400549,1200.959228515625,888.0407104492188,176367.1875,1543.816650390625,2089.0,580,1509,729
24,0.25,0.5861794046836324,0.4313949489359736,0.2871287128712871,0.7956104252400549,1184.0823974609375,835.91748046875,176419.3125,1560.693359375,2020.0,580,1440,729
25,0.26,0.5996681146557831,0.4240622411075301,0.2982998454404946,0.7942386831275721,1163.955810546875,777.0442504882812,176478.171875,1580.820068359375,1941.0,579,1362,729
26,0.27,0.6146114090672093,0.4160441684229327,0.3110871905274489,0.7928669410150891,1141.947998046875,716.052001953125,176539.171875,1602.827880859375,1858.0,578,1280,729
27,0.28,0.6259595215386888,0.41004266627956765,0.32146829810901,0.7928669410150891,1125.4752197265625,672.5247802734375,176582.703125,1619.3006591796875,1798.0,578,1220,729
28,0.29000000000000004,0.6369256809028775,0.4042313960874625,0.33180252583237657,0.7928669410150891,1109.5245361328125,632.4754638671875,176622.75,1635.251220703125,1742.0,578,1164,729
29,0.3,0.6489225898692811,0.39789655427140724,0.3434343434343434,0.7928669410150891,1092.13671875,590.8632202148438,176664.375,1652.6387939453125,1683.0,578,1105,729
30,0.31,0.659659740971584,0.39222317040130034,0.3541666666666667,0.7928669410150891,1076.564697265625,555.4353637695312,176699.796875,1668.211181640625,1632.0,578,1054,729
31,0.32,0.6685604572595851,0.387528828960487,0.3632935260842238,0.7928669410150891,1063.6796875,527.3203125,176727.921875,1681.095947265625,1591.0,578,1013,729
32,0.33,0.6810890421416939,0.38089511577903035,0.3758957654723127,0.7914951989026063,1045.4716796875,489.52825927734375,176765.703125,1699.3040771484375,1535.0,577,958,729
33,0.34,0.6908274584781061,0.37577036773917494,0.3864701942397857,0.7914951989026063,1031.4053955078125,461.59466552734375,176793.625,1713.370361328125,1493.0,577,916,729
34,0.35000000000000003,0.7005719902101627,0.37060603562667177,0.3973829201101928,0.7914951989026063,1017.2305297851562,434.76947021484375,176820.453125,1727.54541015625,1452.0,577,875,729
35,0.36000000000000004,0.7096280694429108,0.3658308673968639,0.4070671378091873,0.7901234567901234,1004.1237182617188,410.87628173828125,176844.34375,1740.652099609375,1415.0,576,839,729
36,0.37,0.7160730657172426,0.3623703836531792,0.4146868250539957,0.7901234567901234,994.62548828125,394.3745422363281,176860.84375,1750.150390625,1389.0,576,813,729
37,0.38,0.725139789905534,0.35744782913456463,0.42572062084257206,0.7901234567901234,981.1141357421875,371.8858947753906,176883.34375,1763.66162109375,1353.0,576,777,729
38,0.39,0.7341812897886238,0.3525427955321819,0.4370257966616085,0.7901234567901234,967.6509399414062,350.3489990234375,176904.859375,1777.1248779296875,1318.0,576,742,729
39,0.4,0.739397751348228,0.34965998084785,0.4422187981510015,0.7873799725651578,959.73828125,338.2617492675781,176916.9375,1785.03759765625,1298.0,574,724,729
40,0.41000000000000003,0.7502898805750299,0.34360343555715284,0.45664280031821797,0.7873799725651578,943.1143798828125,313.8856506347656,176941.34375,1801.661376953125,1257.0,574,683,729
41,0.42000000000000004,0.7573622479659575,0.33966815110212367,0.4646628757108042,0.7846364883401921,932.3129272460938,298.68707275390625,176956.53125,1812.462890625,1231.0,572,659,729
42,0.43,0.7651043493155133,0.3353354054515138,0.4746467165419784,0.7832647462277091,920.4205322265625,282.57952880859375,176972.65625,1824.3553466796875,1203.0,571,632,729
43,0.44,0.7729812167553192,0.33090240141917326,0.48595744680851066,0.7832647462277091,908.2529296875,266.7471008300781,176988.484375,1836.52294921875,1175.0,571,604,729
44,0.45,0.781585613400655,0.32604320601227366,0.49868995633187774,0.7832647462277091,894.91552734375,250.08445739746094,177005.125,1849.8603515625,1145.0,571,574,729
45,0.46,0.7868008956299911,0.323059021390244,0.5066548358473825,0.7832647462277091,886.724609375,240.2754364013672,177014.9375,1858.05126953125,1127.0,571,556,729
46,0.47000000000000003,0.7952834721688582,0.31813937107573875,0.5200364298724954,0.7832647462277091,873.2212524414062,224.77871704101562,177030.4375,1871.5545654296875,1098.0,571,527,729
47,0.48000000000000004,0.8003043740243408,0.31519113635793566,0.5272895467160037,0.7818930041152263,865.1290283203125,215.8709716796875,177039.34375,1879.6468505859375,1081.0,570,511,729
48,0.49,0.8059505024423258,0.31183583265848214,0.536723163841808,0.7818930041152263,855.91943359375,206.08050537109375,177049.140625,1888.8563232421875,1062.0,570,492,729
49,0.5,0.8122233776491955,0.30804867538887687,0.547550432276657,0.7818930041152263,845.5245361328125,195.4754180908203,177059.75,1899.251220703125,1041.0,570,471,729
