,thresholds,expected_precision,expected_recall,actual_precision,actual_recall,expected_tp,expected_fp,expected_tn,expected_fn,expected_n_selected,actual_tp,actual_fp,actual_n_obj
28,0.29000000000000004,0.7464903338825534,0.5686463630296296,0.7488151658767772,0.6502057613168725,472.52838134765625,160.4716033935547,179008.5625,358.4421691894531,633.0,474,159,729
29,0.3,0.7515426489491813,0.5661640844674204,0.7539936102236422,0.6474622770919067,470.4656982421875,155.53431701660156,179013.5,360.5048828125,626.0,472,154,729
30,0.31,0.7573377985784537,0.5632387256038462,0.7540453074433657,0.6392318244170097,468.0347595214844,149.96519470214844,179019.0625,362.93572998046875,618.0,466,152,729
31,0.32,0.7646017576518812,0.5594396230758372,0.7615131578947368,0.635116598079561,464.87786865234375,143.12213134765625,179025.890625,366.09271240234375,608.0,463,145,729
32,0.33,0.7749354815242266,0.5539446119032905,0.7609427609427609,0.6200274348422496,460.3116760253906,133.6883087158203,179035.34375,370.6589050292969,594.0,452,142,729
33,0.34,0.7824862231946972,0.5499255708283921,0.7722602739726028,0.6186556927297668,456.9719543457031,127.02801513671875,179042.03125,373.99859619140625,584.0,451,133,729
34,0.35000000000000003,0.788540416293674,0.5465888806901874,0.7795138888888888,0.6159122085048011,454.19927978515625,121.80068969726562,179047.25,376.77130126953125,576.0,449,127,729
35,0.36000000000000004,0.796219788676016,0.542330130710565,0.7862190812720848,0.6104252400548696,450.660400390625,115.33963775634766,179053.703125,380.3102111816406,566.0,445,121,729
36,0.37,0.8032101095257799,0.5383921221466111,0.7863554757630161,0.6008230452674898,447.3880310058594,109.61199188232422,179059.421875,383.58258056640625,557.0,438,119,729
37,0.38,0.8070831851682801,0.5361320377555865,0.7898550724637681,0.598079561042524,445.5099182128906,106.49005126953125,179062.546875,385.4606018066406,552.0,436,116,729
38,0.39,0.8148673645244753,0.5314967074185647,0.7933579335793358,0.5898491083676269,441.6581115722656,100.34186553955078,179068.6875,389.31243896484375,542.0,430,112,729
39,0.4,0.8172086528148191,0.5300734948819547,0.7940630797773655,0.5871056241426612,440.4754638671875,98.52452087402344,179070.5,390.4950866699219,539.0,428,111,729
40,0.41000000000000003,0.8226176096980733,0.5266523007396019,0.7969924812030075,0.5816186556927297,437.632568359375,94.3674087524414,179074.640625,393.3380126953125,532.0,424,108,729
